motor_burnout = 3.35s					
apogee_time = 12.4s					
apogee = 2620ft = 798.576m					
					
Time (s)	Altitude (ft)	Altitude (m)			
20.15	1815	553.212			
20.2	1800	548.64			
20.25	1787	544.6776			
20.3	1778	541.9344			
20.35	1770	539.496			
20.4	1759	536.1432			
20.45	1751	533.7048			
20.5	1741	530.6568			
20.55	1732	527.9136			
20.6	1725	525.78			
20.65	1715	522.732			
20.7	1703	519.0744			
20.75	1691	515.4168			
20.8	1685	513.588			
20.85	1671	509.3208			
20.9	1660	505.968			
20.95	1649	502.6152			
21	1633	497.7384			
21.05	1625	495.3			
21.1	1612	491.3376			
21.15	1605	489.204			
21.2	1594	485.8512			
21.25	1583	482.4984			
21.3	1571	478.8408			
21.35	1565	477.012			
21.4	1551	472.7448			
21.45	1542	470.0016			
21.5	1527	465.4296			
21.55	1514	461.4672			
21.6	1505	458.724			
21.65	1493	455.0664			
21.7	1478	450.4944			
21.75	1466	446.8368			
21.8	1447	441.0456			
21.85	1435	437.388			
21.9	1425	434.34			
21.95	1411	430.0728			
22	1398	426.1104			
22.05	1383	421.5384			
22.1	1374	418.7952			
22.15	1361	414.8328			
22.2	1350	411.48			
22.25	1335	406.908			
22.3	1324	403.5552			
22.35	1307	398.3736			
22.4	1300	396.24			
22.45	1287	392.2776			
22.5	1277	389.2296			
22.55	1265	385.572			
22.6	1259	383.7432			
22.65	1245	379.476			
22.7	1232	375.5136			
22.75	1218	371.2464			
22.8	1201	366.0648			
22.85	1188	362.1024			
22.9	1178	359.0544			
22.95	1169	356.3112			
23	1153	351.4344			
23.05	1136	346.2528			
23.1	1125	342.9			
23.15	1117	340.4616			
23.2	1108	337.7184			
23.25	1089	331.9272			
23.3	1078	328.5744			
23.35	1061	323.3928			
23.4	1052	320.6496			
23.45	1041	317.2968			
23.5	1020	310.896			
23.55	1007	306.9336			
23.6	981	299.0088			
23.65	972	296.2656			
23.7	959	292.3032			
23.75	944	287.7312			
23.8	934	284.6832			
23.85	918	279.8064			
23.9	906	276.1488			
23.95	893	272.1864			
24	881	268.5288			
24.05	867	264.2616			
24.1	853	259.9944			
24.15	837	255.1176			
24.2	825	251.46			
24.25	813	247.8024			
24.3	797	242.9256			
24.35	783	238.6584			
24.4	767	233.7816			
24.45	755	230.124			
24.5	737	224.6376			
24.55	729	222.1992			
24.6	708	215.7984			
24.65	706	215.1888			
24.7	691	210.6168			
24.75	390	118.872			
24.8	627	191.1096			
24.85	648	197.5104			
24.9	588	179.2224			
24.95	604	184.0992			
25	616	187.7568			
25.05	635	193.548			
25.1	560	170.688			
25.15	534	162.7632			
25.2	528	160.9344			
25.25	541	164.8968			
25.3	523	159.4104			
25.35	494	150.5712			
25.4	471	143.5608			
25.45	470	143.256			
25.5	459	139.9032			
25.55	461	140.5128			
25.6	428	130.4544			
25.65	392	119.4816			
25.7	373	113.6904			
25.75	365	111.252			
25.8	367	111.8616			
25.85	360	109.728			
25.9	343	104.5464			
25.95	321	97.8408			
26	306	93.2688			
26.05	300	91.44			
26.1	287	87.4776			
26.15	273	83.2104			
26.2	262	79.8576			
26.25	253	77.1144			
26.3	253	77.1144			
26.35	230	70.104			
26.4	216	65.8368			
26.45	199	60.6552			
26.5	184	56.0832			
26.55	181	55.1688			
26.6	183	55.7784			
26.65	159	48.4632			
26.7	149	45.4152			
26.75	125	38.1			
26.8	112	34.1376			
26.85	115	35.052			
26.9	134	40.8432			
26.95	83	25.2984			
27	73	22.2504			
27.05	46	14.0208			
27.1	30	9.144			
27.15	32	9.7536			
27.2	46	14.0208			
27.25	3	0.9144			
27.3	3	0.9144			
27.35	-1441	-439.2168			
27.4	-1024	-312.1152			
27.45	-318	-96.9264			
27.5	-92	-28.0416			
27.55	-10	-3.048			
27.6	2	0.6096			
27.65	2	0.6096			
27.7	1	0.3048			
27.75	1	0.3048			
27.8	2	0.6096			
27.85	3	0.9144			
27.9	4	1.2192			
27.95	3	0.9144			
28	2	0.6096			
28.05	3	0.9144			
28.1	3	0.9144			
28.15	3	0.9144			
28.2	3	0.9144			
28.25	3	0.9144			
28.3	2	0.6096			
28.35	4	1.2192			
28.4	3	0.9144			
28.45	3	0.9144			
28.5	3	0.9144			
28.55	3	0.9144			
28.6	4	1.2192			
28.65	3	0.9144			
28.7	2	0.6096			
28.75	3	0.9144			
28.8	3	0.9144			
28.85	2	0.6096			
28.9	6	1.8288			
28.95	16	4.8768			
29	24	7.3152			
29.05	-1	-0.3048			
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
